Timestamp,Event Type,Assigned Spot
2025-08-27 08:21:34,EXIT,3:8
2025-08-27 08:21:35,ARRIVAL,2:34
2025-08-27 08:21:36,ARRIVAL,2:39
2025-08-27 08:21:37,EXIT,2:34
2025-08-27 08:21:38,EXIT,1:5
2025-08-27 08:21:39,EXIT,1:25
2025-08-27 08:21:40,EXIT,1:7
2025-08-27 08:21:41,EXIT,2:36
2025-08-27 08:21:42,EXIT,3:34
2025-08-27 08:21:43,EXIT,2:9
2025-08-27 08:21:44,ARRIVAL,2:34
2025-08-27 08:21:45,EXIT,3:10
2025-08-27 08:21:46,EXIT,2:18
2025-08-27 08:21:47,EXIT,2:14
2025-08-27 08:21:48,EXIT,2:37
2025-08-27 08:21:49,EXIT,3:25
2025-08-27 08:21:50,ARRIVAL,3:23
2025-08-27 08:21:51,ARRIVAL,1:13
2025-08-27 08:21:52,EXIT,1:49
2025-08-27 08:21:54,ARRIVAL,2:7
2025-08-27 08:21:54,ARRIVAL,1:3
2025-08-27 08:21:55,EXIT,3:46
2025-08-27 08:21:56,EXIT,1:29
2025-08-27 08:21:57,EXIT,2:35
2025-08-27 08:21:58,EXIT,2:34
2025-08-27 08:21:59,EXIT,2:7
2025-08-27 08:22:00,EXIT,2:39
2025-08-27 08:22:01,EXIT,1:13
2025-08-27 08:22:02,EXIT,1:34
2025-08-27 08:22:03,EXIT,1:9
2025-08-27 08:22:04,EXIT,1:15
2025-08-27 08:22:05,EXIT,3:44
2025-08-27 08:22:06,EXIT,3:38
2025-08-27 08:22:07,EXIT,1:3
2025-08-27 08:22:08,EXIT,3:23
2025-08-27 08:22:09,EXIT,3:42
2025-08-27 08:22:10,ARRIVAL,1:26
2025-08-27 08:22:11,EXIT,1:26
2025-08-27 08:22:12,ARRIVAL,1:24
2025-08-27 08:22:13,EXIT,1:24
2025-08-27 08:22:14,ARRIVAL,1:20
2025-08-27 08:22:15,EXIT,1:20
2025-08-27 08:22:16,ARRIVAL,1:21
2025-08-27 08:22:17,EXIT,1:21
2025-08-27 08:22:18,ARRIVAL,1:21
2025-08-27 08:22:19,EXIT,1:21
2025-08-27 08:22:20,ARRIVAL,1:44
2025-08-27 08:22:21,EXIT,1:44
2025-08-27 08:22:22,ARRIVAL,1:22
2025-08-27 08:22:23,ARRIVAL,3:42
2025-08-27 08:22:24,EXIT,1:22
2025-08-27 08:22:25,EXIT,3:42
2025-08-27 08:22:26,ARRIVAL,2:41
2025-08-27 08:22:27,EXIT,2:41
2025-08-27 08:22:28,ARRIVAL,1:10
2025-08-27 08:22:29,EXIT,1:10
2025-08-27 08:22:30,ARRIVAL,1:46
2025-08-27 08:22:31,EXIT,1:46
2025-08-27 08:22:32,ARRIVAL,1:49
2025-08-27 08:22:33,ARRIVAL,3:31
2025-08-27 08:22:34,EXIT,1:49
2025-08-27 08:22:35,EXIT,3:31
2025-08-27 08:22:36,ARRIVAL,1:31
2025-08-27 08:22:37,EXIT,1:31
2025-08-27 08:22:38,ARRIVAL,1:16
2025-08-27 08:22:39,EXIT,1:16
2025-08-27 08:22:40,ARRIVAL,1:18
2025-08-27 08:22:41,EXIT,1:18
2025-08-27 08:22:42,ARRIVAL,1:47
2025-08-27 08:22:43,EXIT,1:47
2025-08-27 08:22:44,ARRIVAL,3:10
2025-08-27 08:22:45,EXIT,3:10
2025-08-27 08:22:46,ARRIVAL,1:31
2025-08-27 08:22:47,EXIT,1:31
